geneID	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
7314	None	ubiquitin B	None	None	None	None	extended	UBB	HEL-S-50
54512	None	exosome component 4	None	None	None	None	extended	EXOSC4	RRP41|RRP41A|Rrp41p|SKI6|Ski6p|hRrp41p|p12A
8615	None	USO1 vesicle transport factor	None	None	None	None	extended	USO1	P115|TAP|VDP
11338	None	U2 small nuclear RNA auxiliary factor 2	None	None	None	None	extended	U2AF2	U2AF65
5719	b	proteasome 26S subunit, non-ATPase 13	1.0	90	12	6	seed	PSMD13	HSPC027|Rpn9|S11|p40.5
5718	b	proteasome 26S subunit, non-ATPase 12	1.0	90	12	6	seed	PSMD12	Rpn5|p55
5717	b	proteasome 26S subunit, non-ATPase 11	1.0	90	12	5	seed	PSMD11	Rpn6|S9|p44.5
5716	b	proteasome 26S subunit, non-ATPase 10	1.0	95	10	2	seed	PSMD10	dJ889N15.2|p28|p28(GANK)
5715	None	proteasome 26S subunit, non-ATPase 9	None	None	None	None	extended	PSMD9	Rpn4|p27
5714	b	proteasome 26S subunit, non-ATPase 8	1.0	90	12	3	seed	PSMD8	HEL-S-91n|HIP6|HYPF|Nin1p|Rpn12|S14|p31
5713	b	proteasome 26S subunit, non-ATPase 7	1.0	90	12	6	seed	PSMD7	MOV34|P40|Rpn8|S12
5711	s	proteasome 26S subunit, non-ATPase 5	0.333333333333	95	0	2	seed	PSMD5	S5B
5710	b	proteasome 26S subunit, non-ATPase 4	1.0	95	12	6	seed	PSMD4	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5
60	None	actin beta	None	None	None	None	extended	ACTB	BRWS1|PS1TP5BP1
25998	None	inhibitor of Bruton tyrosine kinase	None	None	None	None	extended	IBTK	BTBD26|BTKI
5903	None	RAN binding protein 2	None	None	None	None	extended	RANBP2	ADANE|ANE1|IIAE3|NUP358|TRP1|TRP2
5905	None	Ran GTPase activating protein 1	None	None	None	None	extended	RANGAP1	Fug1|RANGAP|SD
51377	b	ubiquitin C-terminal hydrolase L5	1.0	95	12	3	seed	UCHL5	CGI-70|INO80R|UCH-L5|UCH37
728689	None	eukaryotic translation initiation factor 3 subunit C-like	None	None	None	None	extended	EIF3CL	-
6386	None	syndecan binding protein	None	None	None	None	extended	SDCBP	MDA-9|MDA9|ST1|SYCL|TACIP18
80184	None	centrosomal protein 290	None	None	None	None	extended	CEP290	3H11Ag|BBS14|CT87|JBTS5|LCA10|MKS4|NPHP6|POC3|SLSN6|rd16
