geneID_A	geneID_B	origins
369	5295	Lit-BM-13
10989	84790	QUBIC
7417	10989	CoFrac
10985	84790	QUBIC
1399	5295	Lit-BM-13
7337	51377	BioPlex
7337	84461	recipIP
427	2495	BioPlex
9276	11316	Lit-BM-13
1472	2495	BioPlex
8409	10471	BioPlex
55210	84790	QUBIC
7415	55210	CoFrac
84617	84790	QUBIC
7417	11079	CoFrac
80184	84461	AlHakimIP
523	7417	CoFrac
25814	84790	QUBIC
7411	10471	BioPlex|CoFrac|QUBIC
10480	27335	BioPlex|CoFrac
84790	91754	QUBIC
9859	84461	AlHakimIP|QUBIC
